"Volt","Freq","Zreal","Zimag"
3.879,79,0.0177,0.002751
3.879,63.34,0.0181,0.002758
3.879,50.22,0.01852,0.002763
3.879,38.42,0.01899,0.00277
3.879,31.25,0.01937,0.002779
3.879,24.93,0.01979,0.002787
3.879,19.86,0.02024,0.002787
3.879,15.63,0.02073,0.002758
3.879,12.4,0.02119,0.00269
3.879,9.931,0.02162,0.002585
3.879,7.945,0.02203,0.002447
3.879,6.317,0.0224,0.002283
3.879,5.008,0.02272,0.00211
3.879,3.946,0.023,0.001942
3.879,3.159,0.02323,0.001804
3.879,2.504,0.02343,0.001682
3.879,1.998,0.02361,0.001596
3.879,1.585,0.02378,0.001542
3.879,1.267,0.02393,0.00152
3.879,0.999,0.02409,0.001528
3.879,0.7923,0.02424,0.00157
3.879,0.6334,0.0244,0.001642
3.879,0.504,0.02456,0.001751
3.879,0.4006,0.02474,0.001891
3.879,0.3167,0.02494,0.002077
3.879,0.252,0.02515,0.0023
3.879,0.2003,0.02538,0.002569
3.879,0.1589,0.02565,0.002891
3.879,0.126,0.02597,0.003272
3.879,0.1002,0.02634,0.00372
3.879,0.07945,0.02679,0.004251
3.879,0.06317,0.02706,0.004859
3.879,0.05013,0.02753,0.005581
3.879,0.03983,0.02807,0.006415
3.879,0.03163,0.02871,0.007382
3.879,0.02512,0.02945,0.008506
3.879,0.01996,0.03031,0.009795
3.879,0.01585,0.03136,0.01128
3.879,0.01259,0.0326,0.01293
3.879,0.01,0.03409,0.01474
3.879,0.007944,0.03585,0.01667
3.879,0.00631,0.03791,0.01871
3.879,0.005012,0.04022,0.02085
3.879,0.003981,0.04274,0.02308
3.879,0.003162,0.04546,0.02545
3.879,0.002512,0.04825,0.02796
3.879,0.001995,0.0511,0.03073
3.879,0.001585,0.05395,0.03383
3.879,0.001259,0.05697,0.03745
3.879,0.001,0.06025,0.04177
3.879,0.0007943,0.0637,0.04691
3.879,0.0006275,0.06733,0.0531
3.879,0.0005037,0.07103,0.06017
3.879,0.0003974,0.07541,0.06955
3.879,0.0003165,0.08003,0.08074
3.879,0.0002519,0.08327,0.09352
3.879,0.0001998,0.08656,0.1097
3.879,0.0001583,0.09227,0.1317
3.879,0.0001259,0.09951,0.1595
3.879,9.99e-05,0.1027,0.1921
3.879,7.948e-05,0.113,0.2368
3.879,6.308e-05,0.1174,0.2898
3.879,5.009e-05,0.1249,0.3587
3.879,3.983e-05,0.1337,0.4449
3.879,3.162e-05,0.1417,0.5546
3.879,2.512e-05,0.154,0.6936
3.879,1.995e-05,0.1718,0.8691
3.879,1.585e-05,0.1887,1.088
3.879,1.259e-05,0.2073,1.362
3.879,9.999e-06,0.2336,1.707
4.187,10080,0.01223,-0.004837
4.187,8016,0.0122,-0.00366
4.187,6328,0.01218,-0.002622
4.187,5016,0.01222,-0.001768
4.187,3984,0.0123,-0.001051
4.187,3171,0.01243,-0.0004404
4.187,2528,0.01259,8.407e-05
4.187,1976,0.01281,0.0005815
4.187,1578,0.01305,0.0009889
4.187,1266,0.01331,0.001335
4.187,998.3,0.01363,0.001677
4.187,796.9,0.01397,0.001968
4.187,627.8,0.01436,0.002249
4.187,505.5,0.01476,0.002472
4.187,398,0.01522,0.002691
4.187,315.5,0.0157,0.00287
4.187,252.4,0.01619,0.003009
4.187,198.6,0.01672,0.003122
4.187,158.4,0.01723,0.003197
4.187,125.6,0.01775,0.003246
4.187,100.4,0.01824,0.003272
4.187,79,0.01874,0.003289
4.187,63.34,0.01918,0.003299
4.187,50.22,0.01962,0.003325
4.187,38.42,0.02007,0.003393
4.187,31.25,0.0204,0.003485
4.187,24.93,0.02074,0.003658
4.187,19.86,0.02119,0.003938
4.187,15.63,0.02151,0.004339
4.187,12.4,0.0219,0.004869
4.187,9.931,0.02233,0.005517
4.187,7.945,0.02291,0.006318
4.187,6.317,0.02369,0.007288
4.187,5.008,0.02472,0.008401
4.187,3.946,0.02612,0.009614
4.187,3.159,0.02777,0.01072
4.187,2.504,0.02987,0.01171
4.187,1.998,0.0322,0.0124
4.187,1.585,0.03479,0.01269
4.187,1.267,0.0373,0.01255
4.187,0.999,0.03979,0.01199
4.187,0.7923,0.04191,0.01113
4.187,0.6334,0.04362,0.01017
4.187,0.504,0.04503,0.009173
4.187,0.4006,0.04615,0.008242
4.187,0.3167,0.04707,0.007424
4.187,0.252,0.04779,0.006794
4.187,0.2003,0.04839,0.006328
4.187,0.1589,0.04891,0.006033
4.187,0.126,0.04945,0.005919
4.187,0.1002,0.04996,0.005977
4.187,0.07945,0.05053,0.006201
4.187,0.06317,0.05086,0.006573
4.187,0.05013,0.05141,0.007123
4.187,0.03983,0.05205,0.00783
4.187,0.03163,0.05278,0.008714
4.187,0.02512,0.05364,0.00977
4.187,0.01996,0.05467,0.01102
4.187,0.01585,0.05584,0.01246
4.187,0.01259,0.05721,0.01412
4.187,0.01,0.0588,0.016
4.187,0.007944,0.06063,0.01809
4.187,0.00631,0.06267,0.02042
4.187,0.005012,0.06489,0.02302
4.187,0.003981,0.06726,0.02599
4.187,0.003162,0.0696,0.02945
4.187,0.002512,0.07212,0.0336
4.187,0.001995,0.0748,0.0387
4.187,0.001585,0.07758,0.04498
4.187,0.001259,0.08056,0.05277
4.187,0.001,0.08394,0.06249
4.187,0.0007943,0.08754,0.07457
4.187,0.0006275,0.09167,0.0901
4.187,0.0005037,0.09571,0.1081
4.187,0.0003974,0.1005,0.1323
4.187,0.0003165,0.1066,0.1619
4.187,0.0002519,0.1113,0.1983
4.187,0.0001998,0.111,0.2428
4.187,0.0001583,0.1148,0.3006
